"排名","代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
"173",="8996","高力","市","01/13","756","+58","+8.31","10","9.22","9.15","692","55.3","19.5","","","有","","","","電機機械","吳誌雄","王心五"
"174",="2258","鴻華先進-創","市","01/13","39.6","-0.3","-0.75","10","174","174.1","690","5.2","2.15","","","","","","","汽車工業","李秉彥","陳清亞"
"175",="00662","富邦NASDAQ","市","01/13","104.65","+0.75","+0.72","","","65.4","684","9.6","9.58","","","有","","","","國外成分股ETF","黃昭棠","呂其倫"
"176","00740B","富邦全球投等債","櫃","01/13","39.6","+0.06","+0.15","","","171.8","680","7.6","7.6","","","","","","","債券ETF","黃昭棠","呂其倫"
"177",="6121","新普","櫃","01/13","361","0","0","10","18.5","18.5","668","33.7","24.1","有","","有","","","","電腦及週邊設備業","宋福祥","宋福祥"
"178","00792B","群益A級公司債","櫃","01/13","32.49","+0.1","+0.31","","","205.3","667","6.8","6.78","","","","","","","債券ETF","賴政昇","陳明輝"
"179",="6472","保瑞","市","01/13","514","+9","+1.78","10","12.7","12.45","640","18.6","8.74","有","","有","","","","生技醫療業","盛保熙","盛保熙"
"180",="3264","欣銓","櫃","01/13","130.5","-0.5","-0.38","10","49","49.02","640","26.3","21","有","","有","有","","","半導體業","盧志遠","張季明"
"181",="8358","金居","櫃","01/13","253","-3","-1.17","10","25.3","25.26","639","27.6","15.3","有","","有","","","","電子零組件業","李思賢","李思賢"
"182",="2492","華新科","市","01/13","131","+6","+4.8","10","48.6","48.58","636","55.5","28.1","有","","有","有","","","電子零組件業","焦佑衡","曾明燦"
"183",="7750","新代","市","01/13","879","-8","-0.9","10","7.18","7.18","631","30.5","0.33","","","","","","","電機機械","蔡尤鏗","蔡尤鏗"
"184",="7799","禾榮科","市","01/13","402","+2.5","+0.63","10","15.8","15.65","629","8.4","0.33","","","","","","","生技醫療業","許金榮","沈孝廉"
"185",="6890","來億-KY","市","01/13","252","-3.5","-1.37","10","24.9","24.94","628","4.6","1.59","","","有","","","","運動休閒","鐘德禮","林昌永"
"186","00777B","凱基AAA至A公司債","櫃","01/13","33.54","+0.07","+0.21","","","186.2","625","7","6.92","","","","","","","債券ETF","丁紹曾","張慈恩"
"187",="2845","遠東銀","市","01/13","12.75","-0.05","-0.39","10","438","486.5","620","34","27.1","","","有","有","","","銀行業","周添財","林建忠"
"188",="2889","國票金","市","01/13","17.05","+0.05","+0.29","10","363","363.4","620","23.8","23.8","","","有","","","","金控業","魏啟林","陳冠舟"
"189",="5289","宜鼎","櫃","01/13","646","+19","+3.03","10","9.46","9.58","619","20.8","12.1","","","有","","","","電腦及週邊設備業","簡川勝","簡川勝"
"190",="6257","矽格","市","01/13","127.5","+8","+6.69","10","48.4","48.39","617","37.1","22.4","有","","有","有","","","半導體業","黃興陽","葉燦鍊"
"191",="1560","中砂","市","01/13","421.5","+5","+1.2","10","14.7","14.63","617","61.5","21","","","有","","","","電機機械","林伯全","謝榮哲"
"192",="3081","聯亞","櫃","01/13","659","-14","-2.08","10","9.25","9.25","610","28.6","10.5","有","","","","","","通信網路業","張景溢","羅淇生"
"193",="6196","帆宣","市","01/13","292.5","+20","+7.34","10","21.8","20.22","591","37","23.2","","","有","有","","","其他電子業","高新明","林育業"
"194",="6944","兆聯實業","市","01/13","770","+30","+4.05","10","7.63","7.63","588","21","0.63","","","有","","","","綠能環保","林國清","曹逸昌"
"195",="5434","崇越","市","01/13","307","+3","+0.99","10","19.1","19.13","587","35.9","25.6","","","有","","","","電子通路業","潘重良","曾海華及李正榮"
"196",="6005","群益證","市","01/13","27","+0.35","+1.31","10","217","217.1","586","37.6","30.4","有","","","","","","證券業","周秀真","李文柱"
